Model,R2,RMSE,MAE
StackingRegressor,0.8428933235339171,7.366456364452376,4.760305658326588
RandomForest,0.8420941328561142,7.385168921492611,4.72658947089191
XGBoost,0.8330878446526189,7.5928580820698315,5.019652575179972
LightGBM,0.8280657444266064,7.706239571773439,5.141572874297984
VotingRegressor,0.8262696034738528,7.7463872743079385,5.2711642735325395
MLP,0.7992278334130569,8.32746953866377,5.792239076176481
DecisionTree,0.798290339452963,8.346889212755016,5.7000586749107995
SVM,0.7858418728871075,8.600596637549584,5.798104093009977
LinearRegression,0.5983176875018005,11.778843573230159,8.351917598986276
